Q1,Q2,T1,T2,Tsp1,Tsp2
52.484252047,2.7334976174,66.821,45.004,68.0,43.0
53.060061278,2.2549349129,66.66,45.036,68.0,43.0
53.557403904,1.8362111533,66.66,45.004,68.0,43.0
54.183029314,1.4043721119,66.467,45.036,68.0,43.0
54.843172159,1.0078208432,66.338,45.068,68.0,43.0
55.428977715,0.72030296729,66.338,44.939,68.0,43.0
55.904316978,0.44032543572,66.338,45.068,68.0,43.0
56.318135989,0.23372400439,66.338,45.036,68.0,43.0
56.719878743,0.098646496047,66.306,44.972,68.0,43.0
57.072182148,0.022438068205,66.306,44.939,68.0,43.0
57.379984308,0.0,66.338,44.746,68.0,43.0
57.687007731,0.0,66.306,44.714,68.0,43.0
58.055794176,0.0,66.209,44.714,68.0,43.0
58.575601584,0.0,66.016,44.714,68.0,43.0
59.015026179,0.0,66.016,44.746,68.0,43.0
59.407205149,0.0,66.016,44.682,68.0,43.0
59.760165111,0.0,66.016,44.617,68.0,43.0
60.091255264,0.015308040795,66.016,44.456,68.0,43.0
60.386024119,0.045326106507,66.016,44.424,68.0,43.0
60.64841085,0.050696561273,66.016,44.424,68.0,43.0
60.918901705,0.030444384205,65.983,44.424,68.0,43.0
61.131681459,0.074289416358,66.016,44.359,68.0,43.0
61.358560116,0.049987677866,65.983,44.392,68.0,43.0
61.535172198,0.091072113378,66.016,44.327,68.0,43.0
61.708529412,0.26585938157,66.016,44.198,68.0,43.0
61.874924521,0.52137460215,66.016,44.102,68.0,43.0
62.021233152,0.61666531761,66.016,44.198,68.0,43.0
62.166073045,0.80069433259,66.016,44.102,68.0,43.0
62.306620836,1.0283010509,66.016,44.037,68.0,43.0
62.445147185,1.3338193469,66.016,43.94,68.0,43.0
62.585387565,1.7876282801,66.016,43.779,68.0,43.0
62.707361706,2.0622766011,66.016,43.876,68.0,43.0
62.528987737,2.5237793431,66.306,43.715,68.0,43.0
62.338525916,2.580619863,66.338,44.005,68.0,43.0
62.108242771,2.906939144,66.435,43.779,68.0,43.0
61.729373924,3.294138625,66.628,43.715,68.0,43.0
61.391926176,3.6786601568,66.66,43.683,68.0,43.0
61.083290677,3.9836545005,66.692,43.715,68.0,43.0
60.90475578,4.2825262992,66.628,43.683,68.0,43.0
60.737883887,4.6653299741,66.66,43.586,68.0,43.0
60.611342056,5.0807482442,66.66,43.521,68.0,43.0
60.55334337,5.5588871844,66.628,43.425,68.0,43.0
60.504697745,5.8638788248,66.628,43.521,68.0,43.0
60.477170183,6.2065407266,66.628,43.457,68.0,43.0
60.667731016,6.5217776429,66.435,43.425,68.0,43.0
60.939325982,6.8209959402,66.338,43.393,68.0,43.0
61.195616711,7.4292007709,66.338,43.103,68.0,43.0
61.418078606,8.0049052926,66.338,43.07,68.0,43.0
61.540675062,8.4787666906,66.402,43.103,68.0,43.0
61.436102218,8.7237921363,66.596,43.264,68.0,43.0
61.301545273,9.1023726757,66.66,43.135,68.0,43.0
61.197776032,9.439639625,66.66,43.135,68.0,43.0
61.104192075,9.465668126,66.66,43.36,68.0,43.0
61.043018607,9.5619094898,66.66,43.296,68.0,43.0
60.959011825,9.4533313969,66.692,43.457,68.0,43.0
60.732723542,9.3706976234,66.854,43.457,68.0,43.0
60.467925274,9.5017644728,66.95,43.296,68.0,43.0
60.225509682,9.6620642179,66.982,43.264,68.0,43.0
60.020862998,9.6096661922,66.982,43.425,68.0,43.0
59.85902815,9.5215003031,66.982,43.457,68.0,43.0
59.737766197,9.4788617745,66.982,43.425,68.0,43.0
59.647395739,9.437714245,66.982,43.425,68.0,43.0
59.571510211,9.2018648121,66.982,43.586,68.0,43.0
59.430203987,9.1924524505,67.079,43.425,68.0,43.0
59.422357697,9.1311824968,66.982,43.457,68.0,43.0
59.425617914,9.07108656,66.982,43.457,68.0,43.0
59.44316261,9.0894347518,66.982,43.393,68.0,43.0
59.458309332,8.9454645847,66.982,43.521,68.0,43.0
59.451918305,8.8915604727,67.015,43.457,68.0,43.0
38.58538341,8.5627949854,66.982,43.554,45.0,43.0
22.632779188,8.5547884885,67.047,43.457,45.0,43.0
11.100638949,8.6031038956,67.015,43.554,45.0,43.0
3.65024725,8.8471400365,66.982,43.457,45.0,43.0
0.012484429189,9.0981188019,66.982,43.457,45.0,43.0
0.0,9.1991650905,66.982,43.554,45.0,43.0
0.0,9.2601318758,66.725,43.586,45.0,43.0
0.0,9.4075672001,66.66,43.489,45.0,43.0
0.0,9.4349824193,66.338,43.586,45.0,43.0
0.0,9.5770288229,66.112,43.489,45.0,43.0
0.0,9.600102704,65.79,43.586,45.0,43.0
0.0,9.8052409335,65.371,43.457,45.0,43.0
0.0,10.004092815,65.049,43.457,45.0,43.0
0.0,10.196706887,64.727,43.457,45.0,43.0
0.0,10.384559445,64.404,43.457,45.0,43.0
0.0,10.410980539,64.082,43.586,45.0,43.0
0.0,10.502747054,63.663,43.554,45.0,43.0
0.0,10.738134205,63.212,43.457,45.0,43.0
0.0,10.838663547,62.954,43.554,45.0,43.0
0.0,11.086165012,62.471,43.457,45.0,43.0
0.0,11.207728517,62.148,43.554,45.0,43.0
0.0,11.333803454,61.826,43.554,45.0,43.0
0.0,11.46508263,61.504,43.554,45.0,43.0
0.0,11.719521048,61.182,43.457,45.0,43.0
0.0,11.893883127,60.537,43.554,45.0,43.0
0.0,12.226367214,60.215,43.425,45.0,43.0
0.0,12.471089296,59.86,43.489,45.0,43.0
0.0,13.178218784,59.28,43.135,45.0,43.0
0.0,13.838580555,58.926,43.135,45.0,43.0
0.0,14.333720731,58.604,43.231,45.0,43.0
0.0,14.961553066,57.959,43.135,45.0,43.0
0.0,15.547327524,57.637,43.135,45.0,43.0
0.0,15.978258938,57.314,43.231,45.0,43.0
0.0,16.541439412,56.734,43.135,45.0,43.0
0.0,16.963188661,56.348,43.231,45.0,43.0
0.0,17.365873478,56.025,43.231,45.0,43.0
0.0,22.633173229,55.703,43.231,45.0,47.0
0.0,27.330269973,55.284,43.296,45.0,47.0
0.0,31.820022054,54.801,43.103,45.0,47.0
0.0,36.04395869,54.414,42.974,45.0,47.0
0.0,39.983625433,54.092,42.877,45.0,47.0
0.0,43.239672667,53.77,43.135,45.0,47.0
0.0,46.357515602,53.447,43.006,45.0,47.0
0.0,49.238391006,53.125,42.974,45.0,47.0
0.0,51.712294814,52.803,43.103,45.0,47.0
0.0,54.335085768,52.48,42.813,45.0,47.0
0.0,56.38770336,52.158,43.103,45.0,47.0
0.0,58.282391411,51.836,43.103,45.0,47.0
0.0,59.883472989,51.514,43.231,45.0,47.0
0.0,61.652839995,51.191,43.006,45.0,47.0
0.0,62.672179105,50.869,43.521,45.0,47.0
0.0,63.992785305,50.547,43.231,45.0,47.0
0.0,64.981839159,50.225,43.425,45.0,47.0
0.0,65.890918583,49.967,43.425,45.0,47.0
0.0,66.641859087,49.709,43.489,45.0,47.0
0.04404928604,67.136518308,49.548,43.65,45.0,47.0
0.32497291654,67.382676175,49.258,43.812,45.0,47.0
0.87685030916,68.025672231,48.936,43.457,45.0,47.0
1.5448689596,67.736229226,48.646,44.166,45.0,47.0
2.2846981059,67.707007551,48.452,43.973,45.0,47.0
3.0140342507,67.294937532,48.291,44.295,45.0,47.0
3.9323340678,66.905682077,47.969,44.295,45.0,47.0
5.0240731844,66.770390948,47.646,44.102,45.0,47.0
5.9020033731,66.587651811,47.646,44.166,45.0,47.0
6.93010698,66.088515551,47.324,44.424,45.0,47.0
8.068212573,64.951132042,47.002,44.972,45.0,47.0
9.2592707892,64.147999333,46.776,44.778,45.0,47.0
10.320944163,63.035655664,46.68,45.101,45.0,47.0
11.554685846,62.242428298,46.357,44.907,45.0,47.0
12.917063207,61.540015024,46.035,44.875,45.0,47.0
14.06495239,60.636655476,46.003,45.101,45.0,47.0
15.306347972,59.444680885,45.713,45.391,45.0,47.0
16.347470402,58.419236934,45.713,45.358,45.0,47.0
17.554357863,57.387902539,45.391,45.423,45.0,47.0
18.563233506,56.427512365,45.391,45.455,45.0,47.0
19.588142526,55.668852297,45.229,45.358,45.0,47.0
20.614177983,54.934264821,45.068,45.391,45.0,47.0
21.49555673,54.041166922,45.036,45.584,45.0,47.0
22.557907095,53.443234801,44.746,45.391,45.0,47.0
23.443095163,52.794516993,44.746,45.487,45.0,47.0
24.174375205,51.941639952,44.746,45.713,45.0,47.0
24.796046929,51.181600422,44.746,45.713,45.0,47.0
25.310323907,50.234229806,44.746,45.938,45.0,47.0
25.750947163,49.351153598,44.746,45.971,45.0,47.0
26.123224945,48.411075583,44.746,46.1,45.0,47.0
26.434999539,47.341665747,44.746,46.293,45.0,47.0
26.731456885,46.742031096,44.746,46.003,45.0,47.0
26.980472542,46.057991108,44.746,46.132,45.0,47.0
27.206126272,45.56983176,44.746,46.035,45.0,47.0
27.071713158,44.707238552,45.036,46.422,45.0,47.0
26.962636012,43.748831889,45.036,46.583,45.0,47.0
26.860704921,43.061883094,45.068,46.454,45.0,47.0
26.790412589,42.535722534,45.068,46.39,45.0,47.0
26.730504477,41.918320196,45.068,46.519,45.0,47.0
26.58486131,41.346805013,45.165,46.551,45.0,47.0
26.552085705,41.0723085,45.101,46.357,45.0,47.0
26.415749736,40.65146897,45.197,46.519,45.0,47.0
26.16968275,40.259523542,45.326,46.551,45.0,47.0
25.913881633,40.162581069,45.391,46.357,45.0,47.0
25.686832824,39.852858017,45.391,46.551,45.0,47.0
25.348039509,39.327526565,45.52,46.776,45.0,47.0
24.864820085,38.850481844,45.713,46.809,45.0,47.0
24.462836155,38.397199557,45.713,46.841,45.0,47.0
24.120181955,37.846296035,45.713,46.97,45.0,47.0
23.847926806,37.5573616,45.713,46.809,45.0,47.0
23.641897657,37.700233821,45.713,46.486,45.0,47.0
23.456102211,37.72062923,45.713,46.583,45.0,47.0
23.31044761,38.020270242,45.713,46.357,45.0,47.0
23.009749633,38.317648978,45.874,46.357,45.0,47.0
22.606531554,38.492168347,46.003,46.454,45.0,47.0
22.233828365,38.781701026,46.035,46.357,45.0,47.0
21.895635483,38.779889513,46.035,46.583,45.0,47.0
21.536749106,38.795991229,46.1,46.583,45.0,47.0
21.095382642,38.876407469,46.229,46.551,45.0,47.0
20.616278057,38.972731235,46.325,46.551,45.0,47.0
20.16961882,39.037395072,46.357,46.583,45.0,47.0
19.787697944,39.146833982,46.357,46.551,45.0,47.0
19.456565821,39.256985569,46.357,46.551,45.0,47.0
19.169770987,39.405454888,46.357,46.519,45.0,47.0
18.908243262,39.393731269,46.357,46.647,45.0,47.0
18.689540786,39.587414959,46.357,46.486,45.0,47.0
18.392978693,39.821858753,46.454,46.454,45.0,47.0
17.967780856,40.179592925,46.615,46.357,45.0,47.0
17.690093089,40.384272324,46.519,46.454,45.0,47.0
17.392224064,40.898971902,46.583,46.196,45.0,47.0
17.277648288,41.079468345,46.422,46.422,45.0,47.0
17.129591412,41.213748025,46.454,46.454,45.0,47.0
16.995872609,41.42055951,46.454,46.39,45.0,47.0
16.839200891,41.697730551,46.486,46.325,45.0,47.0
16.702686625,42.151042554,46.486,46.164,45.0,47.0
